#"Bounced boundary ID","bounce index","total time (ps)"
1,0,1.698
1,1,2.244
1,2,3.032
1,3,4.948
1,4,6.078
1,5,7.122
1,6,9.810
1,7,10.160
1,8,11.808
2,9,13.786
1,10,14.670
2,11,15.910
2,12,17.082
2,13,19.296
1,14,19.832
2,15,20.978
2,16,21.092
2,17,22.228
2,18,22.426
2,19,23.274
2,20,26.392
1,21,29.088
1,22,29.948
2,23,31.146
2,24,31.468
2,25,32.630
2,26,33.382
1,27,33.946
2,28,34.376
2,29,35.112
1,30,37.126
1,31,37.646
2,32,38.886
2,33,39.220
2,34,40.278
1,35,41.604
2,36,42.110
1,37,42.976
1,38,43.728
1,39,45.312
2,40,47.862
2,41,51.284
2,42,51.634
2,43,51.986
2,44,52.276
2,45,52.854
2,46,53.494
2,47,53.916
2,48,54.442
2,49,56.304
2,50,58.344
2,51,61.692
1,52,61.956
2,53,66.296
1,54,67.974
1,55,70.390
2,56,71.270
1,57,72.106
1,58,72.518
1,59,72.868
2,60,74.432
2,61,74.800
2,62,74.998
2,63,75.144
2,64,75.290
2,65,75.418
2,66,75.568
2,67,75.714
2,68,75.870
2,69,76.044
2,70,76.202
2,71,76.384
2,72,79.812
2,73,81.052
2,74,81.788
1,75,84.762
1,76,84.858
1,77,85.068
1,78,85.184
1,79,85.266
1,80,85.332
1,81,85.424
1,82,85.544
1,83,85.682
1,84,85.920
1,85,86.034
1,86,86.116
1,87,86.274
1,88,86.332
1,89,86.390
1,90,86.550
1,91,86.738
1,92,87.058
1,93,87.416
1,94,87.752
1,95,88.294
1,96,88.624
1,97,88.814
1,98,89.064
1,99,89.262
1,100,89.408
1,101,89.566
1,102,89.728
1,103,89.862
1,104,90.062
1,105,90.252
1,106,90.410
1,107,90.868
1,108,90.896
1,109,91.590
1,110,92.150
1,111,94.878
1,112,95.564
1,113,95.984
1,114,96.946
1,115,97.384
2,116,99.684
2,117,100.636
1,118,101.292
1,119,101.500
1,120,101.712
1,121,102.008
1,122,102.966
2,123,105.314
2,124,106.178
2,125,107.422
2,126,107.790
2,127,107.876
2,128,108.524
1,129,109.104
1,130,109.698
1,131,110.348
1,132,110.698
1,133,111.818
2,134,113.168
1,135,114.226
