#"Bounced boundary ID","bounce index","total time (ps)"
1,0,0.424
1,1,0.706
1,2,1.054
1,3,1.344
1,4,1.570
2,5,2.118
1,6,3.530
1,7,4.156
2,8,5.050
2,9,5.500
2,10,6.174
2,11,6.542
2,12,7.252
2,13,9.304
2,14,9.318
2,15,9.340
2,16,9.378
2,17,9.426
2,18,9.982
1,19,10.944
2,20,13.266
1,21,15.834
2,22,16.454
2,23,17.432
2,24,18.282
2,25,18.774
2,26,19.344
2,27,19.598
2,28,20.112
2,29,21.856
2,30,22.284
1,31,23.524
1,32,24.704
1,33,25.352
1,34,27.442
1,35,27.628
1,36,28.768
1,37,29.140
1,38,32.234
2,39,33.154
1,40,33.868
1,41,34.142
1,42,34.940
1,43,35.238
1,44,35.796
1,45,37.248
1,46,37.940
1,47,38.220
1,48,38.738
1,49,39.014
1,50,39.564
1,51,40.324
2,52,42.798
2,53,43.240
2,54,44.178
1,55,45.076
1,56,46.150
2,57,47.006
1,58,48.778
1,59,49.858
2,60,50.796
1,61,51.782
1,62,52.124
1,63,52.548
1,64,52.952
1,65,53.528
1,66,53.704
1,67,54.072
2,68,54.812
1,69,55.392
2,70,55.986
1,71,56.884
1,72,57.336
1,73,57.632
2,74,58.248
1,75,58.554
2,76,59.814
2,77,60.886
2,78,61.040
2,79,61.318
2,80,61.580
2,81,61.824
2,82,61.998
2,83,62.204
2,84,62.390
2,85,62.668
2,86,62.922
2,87,63.134
2,88,63.322
2,89,63.434
2,90,63.548
2,91,63.632
2,92,63.764
2,93,63.866
2,94,63.978
2,95,64.064
2,96,64.320
2,97,64.424
2,98,64.540
2,99,64.788
2,100,65.070
2,101,65.524
2,102,66.038
2,103,66.680
2,104,67.178
2,105,67.462
2,106,67.924
2,107,68.596
2,108,69.130
2,109,70.364
2,110,72.272
2,111,73.004
2,112,73.864
2,113,75.092
1,114,75.628
1,115,76.058
1,116,78.376
1,117,80.008
1,118,80.480
2,119,83.750
2,120,84.532
2,121,85.762
2,122,85.926
1,123,87.246
1,124,87.914
1,125,88.512
1,126,89.004
1,127,89.500
2,128,90.320
2,129,91.540
1,130,93.128
1,131,95.102
1,132,95.906
2,133,96.536
2,134,96.968
2,135,97.704
2,136,98.882
2,137,99.634
2,138,100.440
2,139,101.386
2,140,103.716
2,141,105.374
1,142,106.474
2,143,107.046
2,144,108.126
1,145,110.186
1,146,110.954
1,147,111.406
2,148,112.594
2,149,112.970
2,150,113.552
2,151,113.692
2,152,114.038
2,153,114.310
2,154,114.572
2,155,114.860
2,156,115.072
2,157,115.190
2,158,115.626
2,159,117.054
2,160,117.520
2,161,118.024
2,162,120.202
1,163,120.958
2,164,121.952
2,165,122.788
2,166,122.944
1,167,124.090
1,168,124.320
1,169,124.714
1,170,125.156
1,171,127.378
2,172,129.088
2,173,129.806
2,174,130.896
2,175,132.980
2,176,134.072
2,177,134.442
2,178,135.074
2,179,136.864
2,180,137.416
2,181,137.448
2,182,137.926
2,183,138.420
2,184,139.662
