#"Bounced boundary ID","bounce index","total time (ps)"
2,0,1.556
2,1,2.646
2,2,3.268
1,3,3.900
2,4,5.224
1,5,7.598
1,6,8.132
1,7,8.922
1,8,10.012
1,9,10.178
1,10,11.602
2,11,12.470
2,12,13.580
1,13,15.022
2,14,15.410
1,15,15.726
2,16,16.120
1,17,16.654
2,18,17.310
1,19,18.330
2,20,20.106
1,21,21.608
1,22,22.102
2,23,22.478
1,24,23.214
1,25,23.400
1,26,23.486
1,27,23.608
1,28,24.320
1,29,24.766
2,30,26.236
2,31,26.828
2,32,27.110
2,33,27.394
2,34,27.968
2,35,28.308
2,36,29.194
2,37,29.326
2,38,30.008
2,39,30.280
2,40,30.432
2,41,30.618
1,42,31.590
1,43,34.250
2,44,35.006
2,45,37.328
2,46,38.386
2,47,39.274
2,48,39.426
2,49,40.022
2,50,40.408
2,51,40.984
1,52,41.910
1,53,44.980
1,54,46.284
2,55,46.636
1,56,48.144
1,57,48.920
1,58,49.338
2,59,51.124
1,60,53.728
2,61,54.402
2,62,54.868
1,63,55.514
1,64,56.682
1,65,57.542
1,66,58.168
1,67,58.970
1,68,59.486
1,69,60.174
1,70,60.648
1,71,61.474
1,72,61.784
1,73,64.146
2,74,64.432
1,75,65.196
1,76,65.744
1,77,66.334
1,78,66.778
1,79,67.074
1,80,67.314
1,81,67.834
1,82,68.412
1,83,69.912
1,84,70.332
1,85,71.274
1,86,71.844
1,87,72.170
1,88,73.954
1,89,74.150
2,90,75.850
2,91,76.184
2,92,76.660
1,93,77.064
2,94,78.676
1,95,79.488
1,96,79.526
1,97,79.556
1,98,79.582
1,99,79.928
1,100,80.718
1,101,80.752
1,102,80.780
1,103,80.852
1,104,80.932
1,105,81.042
1,106,81.214
1,107,81.390
1,108,81.532
1,109,82.046
1,110,82.268
1,111,82.632
1,112,82.722
1,113,83.452
1,114,83.988
1,115,86.080
1,116,86.474
1,117,86.924
1,118,87.160
1,119,87.332
1,120,87.502
1,121,87.634
1,122,87.754
1,123,87.852
1,124,87.978
1,125,88.100
1,126,88.188
1,127,88.290
1,128,88.388
1,129,88.480
1,130,88.582
1,131,88.672
1,132,88.762
1,133,88.862
1,134,88.990
1,135,89.124
1,136,89.378
1,137,89.702
1,138,90.362
2,139,91.134
2,140,91.236
2,141,91.432
2,142,91.484
2,143,91.976
1,144,95.164
1,145,95.230
1,146,95.330
1,147,95.594
2,148,96.448
2,149,98.732
2,150,99.828
1,151,103.574
1,152,104.452
1,153,104.710
1,154,104.972
1,155,105.446
1,156,105.574
1,157,105.584
1,158,105.594
1,159,105.786
1,160,106.136
1,161,106.204
1,162,106.322
1,163,106.396
1,164,106.514
1,165,106.618
1,166,106.680
1,167,106.736
1,168,106.820
1,169,106.868
1,170,106.914
1,171,106.970
1,172,107.008
1,173,107.058
1,174,107.110
1,175,107.170
1,176,107.216
1,177,107.256
1,178,107.276
2,179,109.132
2,180,109.370
2,181,109.528
1,182,110.202
1,183,111.012
1,184,111.512
1,185,111.798
1,186,112.092
1,187,114.982
2,188,116.674
2,189,117.648
2,190,118.072
2,191,118.306
2,192,118.560
2,193,118.812
2,194,118.998
2,195,119.324
2,196,119.494
2,197,119.616
2,198,119.686
2,199,119.798
2,200,119.912
2,201,120.026
2,202,120.126
2,203,120.250
2,204,120.656
2,205,120.822
2,206,121.032
2,207,121.204
2,208,121.778
2,209,121.876
2,210,121.974
2,211,122.152
2,212,122.178
2,213,122.190
2,214,122.324
2,215,122.438
2,216,122.550
2,217,122.598
2,218,122.650
2,219,122.704
2,220,122.750
2,221,122.806
2,222,122.888
2,223,122.940
2,224,122.972
2,225,123.006
2,226,123.038
2,227,123.068
2,228,123.098
2,229,123.114
2,230,123.132
2,231,123.188
2,232,123.224
2,233,124.006
1,234,124.966
1,235,125.564
2,236,126.710
2,237,128.562
1,238,129.188
1,239,130.544
1,240,131.144
1,241,132.474
1,242,132.860
1,243,134.184
1,244,134.216
1,245,134.354
1,246,134.474
1,247,134.612
1,248,135.542
1,249,137.576
1,250,138.632
1,251,139.814
1,252,140.308
2,253,141.234
2,254,142.454
2,255,142.826
2,256,144.114
2,257,146.434
1,258,146.758
2,259,148.256
2,260,149.932
1,261,151.156
1,262,151.568
1,263,152.040
1,264,152.132
1,265,152.838
2,266,153.498
1,267,153.844
2,268,154.204
2,269,155.356
1,270,157.358
1,271,157.528
1,272,157.800
1,273,158.032
1,274,158.448
2,275,159.074
1,276,159.632
1,277,159.938
1,278,160.170
1,279,160.406
1,280,163.958
1,281,165.216
1,282,165.602
1,283,165.840
1,284,166.464
2,285,167.100
1,286,168.056
1,287,168.914
1,288,170.174
1,289,171.788
1,290,172.100
2,291,173.278
2,292,173.512
1,293,174.352
1,294,175.018
