#"Bounced boundary ID","bounce index","total time (ps)"
1,0,0.584
1,1,0.906
1,2,1.144
1,3,3.878
1,4,4.628
1,5,5.116
2,6,9.598
1,7,10.524
1,8,11.430
1,9,11.574
1,10,11.790
1,11,13.208
1,12,15.918
1,13,17.168
2,14,20.938
1,15,21.978
1,16,23.200
1,17,25.140
1,18,25.892
1,19,26.846
1,20,27.602
1,21,29.468
1,22,31.498
2,23,33.252
2,24,33.944
2,25,34.250
1,26,34.812
2,27,35.100
2,28,37.180
1,29,39.728
1,30,39.758
1,31,39.796
1,32,42.038
1,33,42.362
1,34,42.954
1,35,43.438
1,36,44.072
1,37,45.076
1,38,46.448
1,39,47.220
1,40,47.566
1,41,47.908
1,42,48.084
1,43,48.788
1,44,49.198
1,45,50.092
1,46,50.432
1,47,50.566
1,48,50.844
1,49,51.134
1,50,51.484
1,51,52.450
1,52,53.050
2,53,54.892
1,54,56.172
1,55,57.450
1,56,58.320
1,57,59.092
1,58,59.844
1,59,60.254
1,60,61.066
1,61,62.206
1,62,62.884
1,63,63.922
1,64,64.024
1,65,64.150
1,66,64.268
1,67,64.380
1,68,64.470
1,69,64.612
1,70,64.752
1,71,64.870
1,72,65.010
1,73,65.222
1,74,65.428
1,75,65.486
1,76,65.572
1,77,65.652
1,78,65.690
1,79,65.726
1,80,65.940
1,81,66.024
1,82,66.172
1,83,66.286
1,84,66.848
1,85,67.626
2,86,70.330
2,87,71.046
2,88,71.652
2,89,72.646
2,90,73.776
2,91,74.618
2,92,74.818
2,93,75.094
2,94,75.350
2,95,75.806
2,96,76.360
2,97,76.736
2,98,77.360
2,99,77.652
2,100,77.882
2,101,78.208
2,102,79.020
2,103,80.004
2,104,82.284
2,105,82.742
2,106,83.060
2,107,83.508
2,108,83.912
2,109,84.088
2,110,84.310
2,111,84.518
2,112,90.570
2,113,91.754
2,114,95.902
1,115,99.220
1,116,100.410
1,117,102.150
1,118,103.232
1,119,106.156
2,120,110.586
2,121,111.236
2,122,111.468
2,123,111.926
2,124,112.156
2,125,112.468
2,126,112.762
2,127,113.044
2,128,113.326
2,129,113.640
2,130,113.816
2,131,113.988
2,132,114.164
2,133,114.404
2,134,114.554
2,135,114.680
2,136,114.804
2,137,114.894
2,138,115.030
2,139,115.180
2,140,115.312
2,141,115.438
2,142,115.482
2,143,115.540
2,144,115.748
2,145,115.984
2,146,116.202
2,147,116.656
2,148,116.764
2,149,116.866
2,150,117.228
2,151,117.554
2,152,117.642
2,153,117.802
2,154,117.972
2,155,118.170
2,156,118.366
2,157,118.544
2,158,118.734
2,159,118.926
2,160,119.194
2,161,119.468
2,162,119.650
2,163,119.854
2,164,120.006
2,165,120.224
2,166,120.322
2,167,120.324
2,168,120.334
2,169,120.536
2,170,120.862
2,171,121.180
2,172,122.600
2,173,125.856
1,174,126.322
2,175,126.840
1,176,131.226
1,177,134.436
1,178,134.924
1,179,135.300
1,180,136.844
1,181,137.362
1,182,138.966
1,183,139.908
1,184,140.184
1,185,142.222
1,186,142.788
1,187,143.920
1,188,144.076
1,189,144.224
1,190,144.930
1,191,145.354
1,192,145.678
1,193,146.618
1,194,147.162
1,195,148.012
1,196,148.694
1,197,149.064
1,198,149.490
2,199,150.484
2,200,151.456
2,201,155.968
2,202,162.578
2,203,163.636
1,204,165.396
1,205,166.468
2,206,167.768
2,207,168.446
1,208,173.060
1,209,174.578
2,210,176.978
1,211,177.750
1,212,180.336
1,213,181.984
1,214,182.636
1,215,183.164
1,216,185.750
2,217,187.222
2,218,187.920
2,219,189.108
2,220,189.786
2,221,189.976
2,222,190.268
2,223,190.400
2,224,190.538
2,225,190.724
2,226,190.932
2,227,191.116
2,228,191.416
2,229,191.732
2,230,192.034
2,231,192.256
2,232,192.596
2,233,193.394
1,234,196.208
2,235,200.328
2,236,201.440
2,237,201.940
2,238,203.162
2,239,203.748
1,240,205.424
1,241,205.962
1,242,207.308
1,243,211.328
2,244,214.368
2,245,217.528
1,246,219.992
1,247,221.122
1,248,222.662
2,249,223.234
1,250,224.672
1,251,225.664
2,252,228.980
2,253,231.054
1,254,232.312
2,255,233.896
2,256,236.544
2,257,238.014
1,258,238.988
2,259,240.758
1,260,244.716
2,261,246.070
2,262,248.022
2,263,249.544
1,264,252.206
1,265,252.830
1,266,253.456
1,267,254.178
1,268,255.864
1,269,256.508
1,270,257.506
1,271,258.036
1,272,259.946
2,273,260.516
2,274,261.920
1,275,262.350
1,276,263.020
1,277,263.310
1,278,264.322
1,279,264.660
1,280,265.470
1,281,266.662
1,282,267.340
1,283,268.048
1,284,269.462
1,285,270.342
1,286,271.108
1,287,272.516
1,288,273.958
1,289,277.798
1,290,278.068
1,291,278.946
2,292,280.774
1,293,281.512
2,294,287.152
2,295,287.624
1,296,294.678
1,297,295.940
1,298,297.798
1,299,300.080
1,300,300.826
1,301,304.324
2,302,306.036
2,303,306.752
2,304,307.542
2,305,309.208
2,306,310.330
1,307,312.592
1,308,313.308
1,309,314.964
2,310,316.726
2,311,318.268
1,312,319.028
1,313,320.248
1,314,322.214
2,315,323.240
2,316,324.802
2,317,326.778
1,318,328.658
1,319,330.440
1,320,331.672
1,321,333.586
1,322,333.758
1,323,333.866
2,324,335.530
2,325,335.814
2,326,336.092
2,327,336.418
2,328,336.552
2,329,339.024
1,330,340.946
2,331,342.702
2,332,345.900
2,333,346.546
1,334,349.198
2,335,350.560
2,336,350.924
2,337,351.338
2,338,354.536
2,339,359.316
2,340,360.118
2,341,360.826
1,342,364.652
2,343,368.346
1,344,368.728
2,345,370.314
1,346,371.384
1,347,376.384
1,348,376.766
1,349,377.270
1,350,377.544
1,351,377.836
1,352,378.084
1,353,378.278
1,354,379.076
1,355,379.622
1,356,380.450
1,357,380.760
1,358,381.022
1,359,381.960
2,360,383.174
2,361,383.808
2,362,384.608
2,363,386.004
2,364,387.036
2,365,387.534
2,366,388.418
2,367,388.538
2,368,388.618
2,369,389.244
2,370,391.960
2,371,393.064
1,372,393.414
2,373,393.782
1,374,394.172
2,375,395.604
2,376,395.692
2,377,395.774
2,378,396.188
2,379,397.106
2,380,399.484
2,381,399.790
2,382,400.972
2,383,402.454
2,384,403.372
2,385,406.034
1,386,408.394
1,387,409.308
1,388,410.174
1,389,411.124
1,390,411.396
1,391,412.782
1,392,413.408
2,393,417.090
2,394,420.924
1,395,422.170
1,396,423.238
1,397,424.446
1,398,425.582
1,399,426.096
1,400,426.564
1,401,427.184
