#"Bounced boundary ID","bounce index","total time (ps)"
1,0,2.164
1,1,4.234
1,2,5.328
1,3,6.038
1,4,6.432
1,5,6.780
2,6,7.252
2,7,8.100
2,8,10.256
2,9,13.240
1,10,14.794
1,11,16.324
2,12,21.462
2,13,24.648
2,14,25.678
2,15,28.522
1,16,31.898
1,17,32.764
1,18,34.162
1,19,39.060
1,20,40.100
1,21,40.736
1,22,41.880
1,23,44.722
1,24,45.868
1,25,46.332
1,26,46.958
1,27,47.510
1,28,47.936
1,29,48.312
1,30,48.668
1,31,49.074
1,32,49.474
1,33,49.820
1,34,51.064
1,35,51.812
2,36,52.850
1,37,53.172
1,38,54.038
1,39,54.844
1,40,56.140
1,41,56.192
1,42,57.506
1,43,58.252
1,44,59.198
1,45,59.926
1,46,60.160
1,47,60.450
1,48,60.736
1,49,63.040
1,50,63.646
1,51,63.978
1,52,65.178
1,53,66.992
2,54,68.738
1,55,70.300
1,56,70.524
1,57,70.802
1,58,71.356
1,59,71.698
1,60,72.040
1,61,72.796
1,62,74.782
1,63,76.150
1,64,76.842
1,65,80.730
1,66,82.138
1,67,82.450
1,68,83.840
1,69,84.918
1,70,86.560
1,71,87.952
1,72,88.872
1,73,89.264
1,74,89.550
1,75,89.872
1,76,90.162
1,77,90.278
1,78,90.608
1,79,90.754
1,80,90.868
1,81,91.062
1,82,91.210
1,83,91.476
1,84,91.558
1,85,91.892
1,86,92.290
1,87,92.494
1,88,92.908
1,89,93.196
1,90,93.352
1,91,93.544
1,92,93.812
1,93,94.090
1,94,94.358
1,95,94.620
1,96,94.922
1,97,95.310
1,98,95.566
1,99,95.682
1,100,95.788
1,101,95.934
1,102,96.064
1,103,96.220
1,104,96.334
1,105,96.468
1,106,96.624
2,107,97.884
1,108,98.308
1,109,99.074
1,110,99.368
1,111,99.876
1,112,100.488
1,113,100.954
1,114,101.816
2,115,103.338
1,116,104.064
1,117,104.568
1,118,105.566
1,119,105.700
1,120,105.866
1,121,106.274
1,122,106.446
1,123,106.744
1,124,107.008
1,125,107.422
1,126,107.750
1,127,108.096
1,128,109.428
1,129,109.724
1,130,110.126
1,131,111.336
2,132,114.054
1,133,116.580
1,134,116.724
1,135,117.072
1,136,117.502
1,137,117.816
1,138,118.140
