#"Bounced boundary ID","bounce index","total time (ps)"
1,0,1.000
2,1,2.200
1,2,2.518
1,3,4.066
1,4,4.604
1,5,4.830
2,6,5.372
1,7,7.006
1,8,7.152
1,9,8.264
1,10,8.750
1,11,8.928
1,12,9.652
1,13,10.814
2,14,11.890
1,15,12.618
2,16,12.956
2,17,13.538
1,18,14.058
1,19,14.384
2,20,14.888
1,21,15.308
1,22,16.334
1,23,18.016
1,24,18.638
1,25,18.892
1,26,19.164
1,27,19.598
1,28,20.230
1,29,21.300
1,30,23.036
1,31,23.790
1,32,24.372
2,33,25.472
2,34,27.894
1,35,28.320
1,36,28.346
1,37,28.394
2,38,28.852
1,39,29.472
1,40,30.356
2,41,31.250
2,42,32.476
2,43,32.670
2,44,32.954
2,45,34.220
2,46,34.682
2,47,35.206
2,48,36.002
2,49,36.028
2,50,36.066
2,51,36.096
2,52,36.110
2,53,36.964
2,54,38.264
2,55,39.048
1,56,40.578
2,57,41.112
1,58,42.438
2,59,43.418
2,60,44.464
2,61,44.518
2,62,44.588
2,63,45.160
1,64,46.024
2,65,46.894
1,66,47.704
2,67,48.622
1,68,49.438
1,69,50.716
2,70,51.192
2,71,53.038
2,72,55.996
2,73,60.858
2,74,60.916
2,75,61.610
2,76,61.988
1,77,63.020
1,78,63.886
1,79,65.452
2,80,66.542
1,81,68.346
1,82,70.068
1,83,70.452
2,84,71.122
1,85,71.562
2,86,72.700
1,87,73.312
1,88,75.832
1,89,76.062
1,90,76.274
1,91,76.508
1,92,76.818
1,93,77.182
1,94,77.634
1,95,78.004
1,96,78.938
1,97,80.542
1,98,81.184
1,99,81.758
1,100,82.158
1,101,82.796
1,102,83.248
1,103,83.722
1,104,83.834
1,105,83.958
1,106,84.110
1,107,84.232
1,108,84.332
1,109,84.426
1,110,84.516
1,111,84.630
1,112,84.750
1,113,84.866
1,114,84.962
1,115,85.010
1,116,85.824
2,117,87.092
2,118,89.574
2,119,89.644
2,120,90.030
2,121,90.656
1,122,91.402
1,123,92.984
1,124,93.898
1,125,94.080
1,126,94.844
1,127,96.474
1,128,96.860
1,129,97.520
1,130,97.832
1,131,98.498
1,132,98.796
1,133,99.088
1,134,100.278
1,135,100.752
1,136,102.332
1,137,103.336
2,138,103.596
1,139,104.038
2,140,104.820
1,141,105.370
1,142,105.716
1,143,106.156
1,144,106.556
1,145,107.152
1,146,107.742
1,147,108.124
1,148,108.522
1,149,109.280
1,150,111.372
1,151,111.502
1,152,111.676
1,153,111.798
1,154,111.918
1,155,112.048
1,156,112.928
1,157,113.678
1,158,114.156
1,159,114.544
1,160,115.262
1,161,115.970
1,162,116.910
2,163,118.910
2,164,119.164
2,165,119.988
1,166,124.008
1,167,125.532
2,168,126.210
1,169,126.550
2,170,126.894
2,171,127.816
1,172,128.714
2,173,129.178
1,174,129.622
1,175,130.444
1,176,130.984
1,177,133.476
2,178,134.696
1,179,135.936
1,180,136.364
1,181,137.228
1,182,138.164
1,183,141.004
2,184,142.330
1,185,143.058
1,186,143.292
1,187,143.540
1,188,143.922
1,189,144.064
1,190,144.160
1,191,144.246
1,192,144.330
1,193,144.480
1,194,144.614
1,195,145.998
1,196,146.376
2,197,148.630
2,198,149.220
2,199,149.748
2,200,150.040
2,201,150.378
2,202,150.596
2,203,151.544
2,204,152.274
1,205,153.618
1,206,153.880
1,207,154.078
1,208,154.320
2,209,154.950
2,210,156.278
2,211,158.162
1,212,158.634
2,213,158.912
2,214,160.186
2,215,160.832
2,216,162.016
2,217,162.142
2,218,162.394
2,219,162.636
2,220,162.816
2,221,163.470
2,222,164.126
2,223,164.778
2,224,165.068
1,225,166.448
2,226,166.798
1,227,167.172
2,228,168.180
2,229,170.268
2,230,170.562
2,231,170.748
2,232,170.886
2,233,171.590
1,234,172.906
1,235,173.370
1,236,173.816
1,237,174.188
1,238,174.546
1,239,174.868
2,240,175.856
1,241,177.766
1,242,178.550
1,243,179.130
1,244,179.776
1,245,180.384
1,246,181.650
1,247,182.108
1,248,182.988
1,249,183.602
1,250,185.624
1,251,186.090
1,252,186.694
1,253,187.046
1,254,187.328
1,255,187.842
1,256,188.280
1,257,188.984
1,258,189.946
2,259,190.706
2,260,190.938
2,261,191.220
2,262,191.528
2,263,191.740
2,264,191.986
2,265,192.570
2,266,193.232
1,267,195.012
1,268,195.296
1,269,195.568
1,270,195.818
1,271,196.024
1,272,196.230
1,273,196.510
1,274,196.772
1,275,197.112
1,276,197.236
1,277,197.748
1,278,198.428
1,279,198.986
1,280,199.778
1,281,200.022
1,282,200.460
1,283,201.042
1,284,201.958
1,285,202.042
1,286,202.082
1,287,202.108
1,288,202.516
1,289,202.564
1,290,202.644
1,291,202.686
1,292,202.748
1,293,202.802
1,294,202.854
1,295,202.936
1,296,203.006
1,297,203.280
1,298,203.368
1,299,203.430
1,300,203.522
1,301,203.732
1,302,204.486
1,303,204.702
1,304,204.792
1,305,205.042
1,306,205.330
1,307,205.594
1,308,205.926
1,309,206.100
1,310,206.290
1,311,206.468
1,312,206.678
1,313,206.912
1,314,207.128
1,315,207.428
1,316,207.638
1,317,207.912
1,318,208.142
1,319,208.330
1,320,208.542
1,321,208.818
1,322,209.146
2,323,211.506
2,324,211.938
2,325,212.400
1,326,213.052
2,327,214.796
2,328,215.462
2,329,216.060
1,330,216.444
1,331,217.648
2,332,218.788
2,333,219.626
2,334,219.714
2,335,219.802
2,336,219.848
2,337,219.870
2,338,219.884
2,339,219.914
2,340,219.934
2,341,219.956
2,342,219.974
2,343,220.008
2,344,220.042
2,345,220.086
2,346,220.126
2,347,220.326
2,348,220.582
2,349,221.182
1,350,221.852
1,351,223.860
2,352,224.474
1,353,225.364
2,354,225.566
1,355,225.780
2,356,226.496
1,357,227.242
1,358,227.564
1,359,227.868
1,360,228.290
1,361,228.770
1,362,229.356
2,363,231.248
1,364,231.654
2,365,232.244
2,366,232.432
2,367,232.614
2,368,232.858
2,369,232.900
2,370,232.952
2,371,233.026
2,372,233.092
2,373,233.136
2,374,233.178
2,375,233.220
2,376,233.256
2,377,233.286
2,378,233.318
2,379,233.356
2,380,233.620
2,381,233.796
2,382,235.814
2,383,236.212
2,384,236.468
2,385,236.678
2,386,236.898
2,387,237.118
2,388,237.330
2,389,237.522
2,390,237.728
2,391,237.976
2,392,238.182
2,393,238.476
2,394,238.814
2,395,239.156
2,396,241.118
1,397,243.306
1,398,243.754
1,399,244.820
1,400,245.668
1,401,246.210
1,402,246.744
1,403,248.486
1,404,248.966
1,405,249.594
1,406,250.150
1,407,250.402
1,408,250.580
1,409,250.802
1,410,250.996
1,411,251.720
1,412,251.850
1,413,251.982
1,414,252.112
1,415,252.270
1,416,252.378
1,417,252.490
1,418,252.662
1,419,254.244
1,420,255.790
1,421,256.418
1,422,258.166
2,423,260.446
2,424,261.242
2,425,263.736
2,426,265.246
2,427,267.094
2,428,267.908
2,429,270.974
2,430,271.674
2,431,272.144
2,432,272.574
2,433,273.602
2,434,274.822
2,435,275.868
2,436,276.394
2,437,277.540
2,438,277.892
2,439,278.556
1,440,279.136
1,441,280.594
1,442,281.164
1,443,281.804
1,444,282.128
2,445,282.654
1,446,283.226
2,447,283.554
1,448,284.628
2,449,285.976
2,450,286.594
2,451,287.946
2,452,290.604
2,453,291.028
2,454,291.460
2,455,293.648
2,456,294.174
2,457,294.468
1,458,296.822
1,459,297.096
1,460,297.442
1,461,297.788
1,462,298.160
1,463,298.486
1,464,298.876
1,465,299.318
2,466,302.670
1,467,304.960
1,468,305.812
2,469,306.112
1,470,306.376
1,471,307.490
2,472,308.018
1,473,308.694
2,474,310.122
2,475,310.528
2,476,311.604
2,477,313.010
1,478,313.400
1,479,314.424
1,480,315.036
1,481,315.430
1,482,316.080
1,483,316.916
2,484,318.118
2,485,319.140
2,486,319.922
1,487,321.190
2,488,321.548
1,489,321.850
2,490,322.096
1,491,322.618
2,492,323.698
1,493,323.930
2,494,324.502
2,495,324.750
2,496,325.076
1,497,326.094
1,498,326.610
1,499,327.108
1,500,328.144
1,501,329.002
1,502,329.606
1,503,329.822
1,504,330.092
1,505,330.634
1,506,330.920
1,507,331.224
2,508,332.474
2,509,332.960
2,510,333.060
1,511,333.608
1,512,334.632
2,513,335.898
2,514,336.254
1,515,337.992
1,516,339.140
1,517,339.400
1,518,339.768
1,519,340.082
1,520,340.420
1,521,340.784
1,522,341.086
1,523,341.492
2,524,343.134
2,525,344.156
2,526,345.040
2,527,345.702
1,528,346.160
2,529,346.454
1,530,346.706
2,531,347.026
2,532,348.592
1,533,348.968
1,534,350.024
1,535,350.876
1,536,352.226
2,537,353.426
2,538,354.340
1,539,355.436
2,540,355.834
1,541,358.850
1,542,359.192
1,543,359.586
1,544,360.098
1,545,360.370
1,546,360.578
2,547,361.170
1,548,361.842
1,549,363.250
2,550,363.518
1,551,363.948
2,552,364.370
2,553,365.186
1,554,366.434
1,555,366.704
1,556,367.510
2,557,369.150
2,558,371.098
2,559,374.312
1,560,375.386
1,561,378.348
2,562,380.428
2,563,380.890
1,564,381.684
1,565,382.936
2,566,383.270
2,567,385.392
2,568,385.606
2,569,386.010
2,570,386.718
2,571,387.292
2,572,387.426
2,573,387.830
1,574,389.058
1,575,389.460
1,576,389.846
1,577,390.322
1,578,391.432
1,579,392.486
1,580,392.806
1,581,393.286
1,582,393.644
1,583,393.994
1,584,394.582
1,585,394.974
1,586,395.454
1,587,395.806
1,588,396.198
1,589,396.696
1,590,397.554
