#"Bounced boundary ID","bounce index","total time (ps)"
2,0,0.382
1,1,1.160
2,2,1.524
1,3,1.938
1,4,3.038
1,5,4.144
1,6,4.652
1,7,5.132
1,8,5.464
1,9,5.744
1,10,5.996
1,11,6.438
1,12,6.910
1,13,7.238
1,14,10.648
1,15,10.814
1,16,11.012
2,17,14.408
2,18,16.080
2,19,17.068
2,20,18.358
1,21,18.918
2,22,20.044
1,23,21.538
2,24,21.976
1,25,23.754
1,26,23.934
1,27,24.004
1,28,24.160
1,29,24.256
2,30,25.698
1,31,26.788
1,32,27.890
2,33,28.564
2,34,29.058
2,35,29.714
2,36,30.092
1,37,31.448
1,38,31.892
2,39,33.688
2,40,33.832
1,41,34.874
2,42,35.278
1,43,35.654
1,44,37.906
1,45,38.684
2,46,39.420
1,47,40.290
1,48,41.416
1,49,42.512
1,50,43.274
1,51,43.548
1,52,44.000
2,53,45.148
1,54,45.720
2,55,49.378
2,56,49.690
2,57,50.516
1,58,51.268
2,59,51.746
2,60,52.930
2,61,53.452
2,62,53.950
2,63,54.506
1,64,56.324
2,65,57.782
2,66,58.990
2,67,59.756
1,68,60.090
2,69,60.494
2,70,61.024
2,71,61.730
2,72,61.992
2,73,62.156
2,74,62.290
2,75,63.102
2,76,63.424
1,77,64.280
2,78,65.254
1,79,65.634
2,80,67.562
2,81,68.112
2,82,68.946
1,83,69.516
2,84,70.034
2,85,71.632
1,86,74.704
1,87,74.832
2,88,75.302
1,89,75.736
1,90,76.176
1,91,76.586
1,92,76.952
2,93,77.604
2,94,78.722
1,95,79.020
2,96,79.380
1,97,79.832
1,98,80.538
2,99,81.078
2,100,82.276
2,101,82.500
2,102,82.828
2,103,85.452
2,104,88.852
1,105,90.404
1,106,91.560
1,107,92.628
1,108,93.470
2,109,95.208
2,110,96.438
2,111,96.980
2,112,98.502
1,113,98.876
2,114,99.132
2,115,100.540
1,116,100.854
2,117,101.208
1,118,101.510
2,119,101.834
2,120,102.532
2,121,102.708
2,122,103.064
2,123,106.102
2,124,108.884
2,125,109.030
2,126,109.250
2,127,110.166
2,128,110.466
2,129,110.820
1,130,111.958
2,131,112.324
1,132,113.548
1,133,114.096
2,134,115.410
1,135,116.606
1,136,117.788
2,137,118.492
1,138,120.526
2,139,123.368
2,140,123.636
2,141,123.908
2,142,124.190
2,143,124.492
2,144,124.832
2,145,125.930
2,146,127.496
2,147,130.152
2,148,130.890
2,149,131.382
2,150,132.466
2,151,132.896
2,152,133.642
1,153,135.418
2,154,135.754
2,155,136.666
2,156,138.366
2,157,139.144
2,158,139.206
2,159,139.262
2,160,139.614
2,161,139.778
2,162,139.934
2,163,140.178
2,164,140.462
1,165,141.570
1,166,142.204
2,167,143.490
2,168,144.668
2,169,144.962
1,170,145.872
2,171,146.552
2,172,147.670
1,173,148.764
1,174,150.830
1,175,151.082
1,176,151.248
1,177,151.324
1,178,151.462
1,179,151.584
1,180,151.764
1,181,151.904
1,182,152.054
1,183,152.218
1,184,152.376
1,185,152.490
1,186,152.616
1,187,152.786
1,188,153.110
1,189,153.486
1,190,153.810
1,191,153.856
1,192,153.898
1,193,153.928
1,194,153.970
1,195,153.990
1,196,154.010
1,197,154.048
1,198,154.080
1,199,154.136
1,200,154.176
1,201,154.220
1,202,154.264
1,203,154.562
1,204,154.830
1,205,154.860
1,206,154.932
1,207,155.016
1,208,155.070
1,209,155.124
1,210,155.172
1,211,155.214
1,212,155.252
1,213,155.336
1,214,155.412
1,215,155.480
1,216,155.556
1,217,155.694
1,218,155.906
1,219,155.992
1,220,156.098
1,221,156.194
1,222,156.284
1,223,156.362
1,224,156.450
1,225,156.528
1,226,156.588
1,227,156.654
1,228,157.154
1,229,157.698
1,230,158.016
2,231,159.108
2,232,160.558
2,233,161.088
2,234,161.814
2,235,162.322
2,236,163.030
2,237,163.742
2,238,164.590
2,239,164.956
2,240,165.332
2,241,165.556
1,242,167.576
1,243,167.916
1,244,168.096
1,245,168.234
1,246,168.368
1,247,168.496
1,248,168.622
1,249,168.782
1,250,168.900
1,251,169.026
1,252,169.176
1,253,169.444
1,254,170.296
1,255,171.132
1,256,172.910
1,257,174.756
1,258,175.276
2,259,175.732
1,260,176.290
1,261,177.340
1,262,177.452
1,263,177.554
1,264,177.652
1,265,177.798
