#"Bounced boundary ID","bounce index","total time (ps)"
2,0,0.144
2,1,0.526
2,2,0.848
2,3,1.468
2,4,2.290
2,5,5.174
2,6,5.794
2,7,6.496
2,8,7.286
2,9,7.368
2,10,7.430
2,11,7.484
2,12,7.548
2,13,7.610
2,14,7.654
2,15,7.690
2,16,7.714
2,17,7.742
2,18,7.746
2,19,7.752
2,20,7.758
2,21,7.770
2,22,7.778
2,23,7.826
2,24,7.862
2,25,7.938
2,26,8.080
2,27,8.164
2,28,8.236
2,29,8.874
2,30,9.212
2,31,9.460
2,32,9.674
2,33,9.782
2,34,9.956
2,35,10.070
2,36,10.272
2,37,10.434
2,38,10.536
2,39,10.650
2,40,10.740
2,41,10.858
2,42,10.982
2,43,11.124
2,44,11.258
2,45,11.372
2,46,11.470
2,47,11.594
2,48,11.704
2,49,11.856
2,50,11.994
2,51,12.124
2,52,12.286
2,53,12.438
2,54,12.546
2,55,12.670
2,56,12.768
2,57,12.894
2,58,12.984
2,59,13.038
2,60,13.110
2,61,13.184
2,62,13.334
2,63,13.462
2,64,13.600
2,65,13.744
2,66,13.864
2,67,14.028
2,68,14.210
2,69,14.344
2,70,14.538
2,71,14.764
2,72,14.810
2,73,14.864
2,74,14.916
2,75,14.978
2,76,15.006
2,77,15.024
2,78,15.050
2,79,15.094
2,80,15.128
2,81,15.164
2,82,15.230
2,83,15.318
2,84,15.434
2,85,15.556
2,86,15.638
2,87,16.956
2,88,17.402
2,89,18.170
2,90,19.344
2,91,19.646
2,92,19.934
2,93,20.284
1,94,21.422
2,95,22.164
1,96,23.808
1,97,25.054
1,98,26.726
1,99,26.970
1,100,27.206
1,101,27.430
1,102,27.588
1,103,27.756
1,104,27.884
1,105,28.048
1,106,28.344
1,107,28.582
1,108,29.306
1,109,30.054
1,110,30.408
1,111,30.924
1,112,31.390
2,113,34.666
2,114,36.528
1,115,36.756
2,116,37.020
1,117,44.104
1,118,44.160
1,119,44.192
2,120,46.278
1,121,48.258
1,122,50.696
1,123,50.926
1,124,51.116
1,125,53.322
2,126,56.946
2,127,57.738
2,128,58.218
2,129,59.144
2,130,59.384
2,131,60.750
1,132,61.550
1,133,62.736
2,134,64.334
2,135,64.536
2,136,64.814
2,137,65.090
2,138,65.592
2,139,66.102
2,140,66.762
2,141,67.794
2,142,68.268
2,143,68.390
2,144,68.426
2,145,68.924
2,146,69.710
2,147,71.636
2,148,72.110
2,149,72.542
2,150,73.382
2,151,73.880
2,152,75.236
1,153,76.788
2,154,77.364
1,155,78.006
1,156,78.480
1,157,78.852
1,158,79.916
1,159,81.044
1,160,82.634
2,161,84.154
2,162,84.804
2,163,85.302
2,164,86.740
2,165,87.096
2,166,87.480
2,167,88.178
2,168,88.418
2,169,88.804
2,170,89.128
2,171,89.494
2,172,90.186
2,173,90.280
2,174,90.370
2,175,90.462
2,176,90.562
2,177,90.634
2,178,90.734
2,179,90.800
2,180,90.904
2,181,90.998
2,182,91.070
2,183,91.170
2,184,91.272
2,185,91.356
